callsign,landingTime,ifdelayed,eventTime1,eventTime2,utcTime,localTime,aircraftModel,aircraftModel2,fleetID,owner,airlineName,airportOriginName,airportOriginCode1,airportOriginCode2,airportOriginLat,airportOriginLng,airportOriginCountry,airportOriginOffset,airportDestName,airportDestCode1,airportDestCode2,airportDestLat,airportDestLng,airportDestCountry,airportDestOffset,timeScheduleDeparture,timeScheduleArrival,timeRealDeparture,timeRealArrival,duration,id,airportOriginCity,airportDestCity,realDepartTime,realDepartTime_local,realArriveTime,realArriveTime_local,from_to,from_to_2,route,flightTime
CAL522,Landed 19:25,green,1546514738,1546543538,2019/1/3 11:25,2019/1/3 19:25,B744,Boeing 747-409,B-18210,China Airlines,China Airlines,Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546507800,1546515300,1546509210,1546514738,5520,11,Guangzhou,Taipei,2019/1/3 9:53,2019/1/3 17:53,2019/1/3 11:25,2019/1/3 19:25,China_Taiwan,Guangzhou_Taipei,Taiwan_China,1.5
CAL527,Landed 17:08,green,1546592918,1546621718,2019/1/4 9:08,2019/1/4 17:08,B744,Boeing 747-409,B-18210,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shenzhen Bao'an International Airport,SZX,ZGSZ,22.63925,113.8106,China,28800,1546586400,1546593900,1546587802,1546592918,5100,11,Taipei,Shenzhen,2019/1/4 7:43,2019/1/4 15:43,2019/1/4 9:08,2019/1/4 17:08,Taiwan_China,Taipei_Shenzhen,Taiwan_China,1.4
CAL528,Landed 20:27,green,1546604820,1546633620,2019/1/4 12:27,2019/1/4 20:27,B744,Boeing 747-409,B-18210,China Airlines,China Airlines,Shenzhen Bao'an International Airport,SZX,ZGSZ,22.63925,113.8106,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546598700,1546604700,1546600119,1546604820,4680,11,Shenzhen,Taipei,2019/1/4 11:08,2019/1/4 19:08,2019/1/4 12:27,2019/1/4 20:27,China_Taiwan,Shenzhen_Taipei,Taiwan_China,1.3
CAL517,Landed 18:40,green,1546771215,1546800015,2019/1/6 10:40,2019/1/6 18:40,B744,Boeing 747-409,B-18210,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Beijing Capital International Airport,PEK,ZBAA,40.084152,116.592735,China,28800,1546760100,1546772700,1546761253,1546771215,9960,11,Taipei,Beijing,2019/1/6 7:54,2019/1/6 15:54,2019/1/6 10:40,2019/1/6 18:40,Taiwan_China,Taipei_Beijing,Taiwan_China,2.8
CAL518,Landed 23:17,green,1546787827,1546816627,2019/1/6 15:17,2019/1/6 23:17,B744,Boeing 747-409,B-18210,China Airlines,China Airlines,Beijing Capital International Airport,PEK,ZBAA,40.084152,116.592735,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546777500,1546789200,1546778451,1546787827,9360,11,Beijing,Taipei,2019/1/6 12:40,2019/1/6 20:40,2019/1/6 15:17,2019/1/6 23:17,China_Taiwan,Beijing_Taipei,Taiwan_China,2.6
CAL521,Landed 16:22,green,1546330948,1546359748,2019/1/1 8:22,2019/1/1 16:22,B744,Boeing 747-409,B-18211,China Airlines,China Airlines (SkyTeam Livery),Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China,28800,1546322700,1546330500,1546324905,1546330948,6060,12,Taipei,Guangzhou,2019/1/1 6:41,2019/1/1 14:41,2019/1/1 8:22,2019/1/1 16:22,Taiwan_China,Taipei_Guangzhou,Taiwan_China,1.7
CAL522,Landed 19:50,green,1546343423,1546372223,2019/1/1 11:50,2019/1/1 19:50,B744,Boeing 747-409,B-18211,China Airlines,China Airlines (SkyTeam Livery),Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546335000,1546342500,1546337323,1546343423,6120,12,Guangzhou,Taipei,2019/1/1 10:08,2019/1/1 18:08,2019/1/1 11:50,2019/1/1 19:50,China_Taiwan,Guangzhou_Taipei,Taiwan_China,1.7
CAL511,Landed 12:17,green,1546402679,1546431479,2019/1/2 4:17,2019/1/2 12:17,B744,Boeing 747-409,B-18211,China Airlines,China Airlines (SkyTeam Livery),Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Beijing Capital International Airport,PEK,ZBAA,40.084152,116.592735,China,28800,1546386900,1546401840,1546392627,1546402679,10080,12,Taipei,Beijing,2019/1/2 1:30,2019/1/2 9:30,2019/1/2 4:17,2019/1/2 12:17,Taiwan_China,Taipei_Beijing,Taiwan_China,2.8
CAL512,Landed 16:46,yellow,1546418785,1546447585,2019/1/2 8:46,2019/1/2 16:46,B744,Boeing 747-409,B-18211,China Airlines,China Airlines (SkyTeam Livery),Beijing Capital International Airport,PEK,ZBAA,40.084152,116.592735,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546406100,1546417320,1546408693,1546418785,10080,12,Beijing,Taipei,2019/1/2 5:58,2019/1/2 13:58,2019/1/2 8:46,2019/1/2 16:46,China_Taiwan,Beijing_Taipei,Taiwan_China,2.8
CAL527,Landed 17:34,green,1546508073,1546536873,2019/1/3 9:34,2019/1/3 17:34,B744,Boeing 747-409,B-18211,China Airlines,China Airlines (SkyTeam Livery),Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shenzhen Bao'an International Airport,SZX,ZGSZ,22.63925,113.8106,China,28800,1546500000,1546507500,1546503072,1546508073,4980,12,Taipei,Shenzhen,2019/1/3 8:11,2019/1/3 16:11,2019/1/3 9:34,2019/1/3 17:34,Taiwan_China,Taipei_Shenzhen,Taiwan_China,1.4
